letter,num,freqs,包含单词的个数,百分比,首字母出现次数,末尾字母出现次数
a,5987,0.09244190535011194,5327,0.4112560796726627,737,680
b,1625,0.025090712576237167,1517,0.11711572608662087,908,59
c,2023,0.031236007102601715,1915,0.1478421987184436,920,127
d,2448,0.03779819346869451,2294,0.17710182969196325,681,822
e,6656,0.10277155871226742,5699,0.43997529529838647,303,1521
f,1113,0.0171852080599089,988,0.07627576623176098,596,82
g,1640,0.02532231915386397,1540,0.11889137651509303,637,143
h,1756,0.02711341002084459,1704,0.13155253609202502,488,369
i,3753,0.05794796572222651,3583,0.276615455878947,165,280
j,291,0.004493167605960009,289,0.02231143364471551,202,3
k,1495,0.023083455570138193,1435,0.11078514629815486,375,257
l,3369,0.05201883733498031,3112,0.24025322319153863,576,476
m,1975,0.03049486605419594,1867,0.14413649347641472,693,182
n,2950,0.045549293599938236,2785,0.21500810623021693,325,530
o,4429,0.06838570215394117,3905,0.30147456187755733,262,388
p,2015,0.031112483594534085,1881,0.14521732417200647,858,147
q,112,0.0017293291129468077,111,0.00856944337219177,78,4
r,4156,0.06417046244113332,3907,0.30162896626264185,628,673
s,6650,0.10267891608121671,5925,0.4574229908129391,1561,3950
t,3292,0.050829923569829384,3030,0.23392264340307264,815,726
u,2509,0.03874006021771018,2434,0.1879101366478808,189,67
v,694,0.010715664324866826,674,0.05203427777348877,242,4
w,1038,0.016027175171774877,1027,0.07928665174090944,412,64
x,288,0.0044468462904346485,287,0.022157029259630975,16,70
y,2067,0.03191538639697367,2025,0.15633443989809312,181,1297
z,434,0.00670115031266888,391,0.030186057284026867,105,32
