word,num,freqs
es,864,0.016675674
er,765,0.014764919
ar,658,0.012699761
re,645,0.012448854
ed,641,0.012371651
ra,562,0.010846908
in,555,0.010711804
an,544,0.010499498
al,536,0.010345094
as,532,0.010267892
le,526,0.010152088
la,453,0.008743148
ro,429,0.008279935
te,421,0.008125531
se,416,0.008029028
st,412,0.007951826
on,410,0.007913225
ts,403,0.007778121
or,403,0.007778121
en,393,0.007585115
ri,390,0.007527214
ne,365,0.0070447
ch,359,0.006928897
lo,358,0.006909596
ta,351,0.006774492
ma,350,0.006755192
el,347,0.00669729
de,347,0.00669729
is,346,0.00667799
os,337,0.006504285
ur,328,0.00633058
oo,326,0.006291979
me,325,0.006272678
ea,323,0.006234077
at,318,0.006137574
ha,317,0.006118274
pe,316,0.006098973
li,314,0.006060372
il,313,0.006041072
ee,308,0.005944569
us,304,0.005867367
co,302,0.005828766
ve,300,0.005790164
un,288,0.005558558
ke,287,0.005539257
ol,285,0.005500656
pa,285,0.005500656
am,282,0.005442755
ho,280,0.005404153
to,279,0.005384853
ks,274,0.00528835
it,271,0.005230449
ca,268,0.005172547
bo,265,0.005114645
ls,261,0.005037443
ns,260,0.005018143
na,259,0.004998842
ai,256,0.00494094
he,255,0.00492164
ba,253,0.004883039
sh,253,0.004883039
ou,251,0.004844438
be,250,0.004825137
ic,241,0.004651432
mo,241,0.004651432
et,240,0.004632132
ng,236,0.004554929
ir,235,0.004535629
ga,232,0.004477727
ot,231,0.004458427
rs,231,0.004458427
ie,230,0.004439126
sa,229,0.004419826
ow,228,0.004400525
ge,228,0.004400525
do,228,0.004400525
ad,226,0.004361924
th,223,0.004304022
ds,222,0.004284722
id,219,0.00422682
po,218,0.004207519
ul,216,0.004168918
nt,215,0.004149618
mi,212,0.004091716
ps,212,0.004091716
ll,209,0.004033815
wa,208,0.004014514
ac,203,0.003918011
ap,202,0.003898711
um,202,0.003898711
pi,196,0.003782907
ti,195,0.003763607
hi,191,0.003686405
ru,191,0.003686405
go,188,0.003628503
so,187,0.003609203
lu,182,0.0035127
au,180,0.003474099
ck,179,0.003454798
ce,178,0.003435498
di,177,0.003416197
we,177,0.003416197
ty,177,0.003416197
ly,175,0.003377596
no,174,0.003358295
sp,172,0.003319694
ut,170,0.003281093
im,170,0.003281093
nd,168,0.003242492
ag,167,0.003223192
ni,165,0.00318459
om,163,0.003145989
tr,163,0.003145989
ka,162,0.003126689
ab,160,0.003088088
op,159,0.003068787
