letter,freqs
a,0.09244190535011194
b,0.025090712576237167
c,0.031236007102601715
d,0.03779819346869451
e,0.10277155871226742
f,0.0171852080599089
g,0.02532231915386397
h,0.02711341002084459
i,0.05794796572222651
j,0.004493167605960009
k,0.023083455570138193
l,0.05201883733498031
m,0.03049486605419594
n,0.045549293599938236
o,0.06838570215394117
p,0.031112483594534085
q,0.0017293291129468077
r,0.06417046244113332
s,0.10267891608121671
t,0.050829923569829384
u,0.03874006021771018
v,0.010715664324866826
w,0.016027175171774877
x,0.0044468462904346485
y,0.03191538639697367
z,0.00670115031266888
