word,E
gorge,2.3422203070933376
abbey,2.071856346258385
robot,2.415169084055904
knoll,2.361092915197128
skill,2.340165850490775
elder,2.476668089611743
cynic,2.341662705484184
aroma,2.511786348636685
dodge,2.235020971624791
swill,2.3228810816024863
tacit,2.5493378212933906
spill,2.461202607247631
rupee,2.433653048715037
ahead,2.429615995663921
sweet,2.347794826061789
tease,2.5751028270209444
allow,2.376500573847475
renew,2.354697009232934
slosh,2.473632544874096
shall,2.494988293858288
lowly,2.281305339312933
fewer,2.160081435812416
natal,2.587445327356701
comma,2.30649390182842
cheek,2.256726119664039
larva,2.3560203873834453
forgo,2.2700333643263617
canny,2.3975968699106467
delve,2.2069123015648016
glass,2.3988482441615955
asset,2.548116781826723
tiara,2.625437009997726
atoll,2.606411564926317
gloom,2.3514067237304404
flood,2.2704160404898666
trait,2.628040000117413
goose,2.444052914148169
donor,2.4843759874812177
retro,2.634009461760103
droll,2.485123600258481
hutch,2.330230221596873
egret,2.474767698240557
lilac,2.513684504567087
sever,2.310985459509051
agape,2.3901483777873715
wedge,2.11793032195883
roomy,2.418088592376587
trite,2.6169491498095336
tryst,2.508812988549216
elope,2.507864067120326
cinch,2.3676120328469272
bluff,1.8435528481965089
coyly,2.3540603004843565
buggy,1.9331318246040303
patty,2.453782703409938
label,2.363912245265152
khaki,2.129420943237141
treat,2.6309942682779788
needy,2.359883390454661
ruder,2.4150453997887773
gully,2.2725252186861105
whoop,2.2502130061230403
taunt,2.513214072018175
leery,2.5042785349527183
class,2.4667995002747967
theme,2.417343547367003
tibia,2.379963185242758
booze,1.956679062545833
alpha,2.4593023822898425
parer,2.540922518051963
soggy,2.215918322037207
usurp,2.3256999401270173
leave,2.3297179814403184
dandy,2.259259411194903
ionic,2.498891773321379
floor,2.397342425692752
catch,2.416952568973696
foggy,2.0266872165801524
carry,2.471223135642656
libel,2.349867126796707
photo,2.480123997201882
spell,2.4641568754081966
inane,2.542237609165518
there,2.5480545206786136
happy,2.290344340684756
undue,2.2820536478937266
eject,2.0843344736629352
torso,2.6044001895129583
knock,2.1069355461165378
apply,2.344366579613089
usual,2.3953420418701947
excel,2.1165116039774774
aorta,2.640979606740615
condo,2.405673808657196
