Word,popularity
slump,1.476376145
crank,3.311928626
gorge,1.854724596
query,6.025503351
drink,27.3748619
favor ,42.33264265
abbey,2.024112879
tangy,0.165745879
panic,7.383427009
solar,18.02026374
shire,1.208799459
proxy,3.724675151
point,307.6297565
robot,3.665802232
prick,1.094696509
wince,0.403980072
crimp,0.265788618
knoll,0.593082339
sugar,38.88365138
whack,0.352630064
mount,6.858638805
perky,0.166532339
could,778.274518
wrung,1.013447249
light,197.010363
those,636.4720922
moist,7.157583294
shard,0.1675889
pleat,0.099746213
aloft,1.82347017
skill,26.52217988
elder,8.03948778
frame,38.04115457
humor,7.764929314
pause,8.895829134
ulcer,3.673968453
ultra,4.513077063
robin,0.843794259
cynic,0.351945112
aroma,1.565410901
caulk,0.078650165
shake,8.935845882
dodge,0.741943798
swill,0.158056949
tacit,1.920217135
other,1395.587085
thorn,1.624708104
trove,0.311185178
bloke,0.467416222
vivid,6.74063072
spill,3.120410885
chant,1.849285792
choke,1.697092138
rupee,1.000858085
nasty,2.695082843
mourn,1.903339023
ahead,32.48632831
brine,2.644075543
cloth,22.94407517
hoard,1.189802546
sweet,28.06304506
month,100.8875647
lapse,5.15651295
watch,32.76285206
today,91.16080525
focus,47.97239179
smelt,1.009682503
tease,1.155085959
cater,1.404092071
movie,11.17900683
saute,0.21354948
allow,74.82167314
renew,4.991358528
their,1799.120519
slosh,0.07800039
purge,1.737083788
chest,23.41211799
depot,4.13869274
epoxy,1.996233682
nymph,0.926001461
found,423.3809566
shall,680.749094
stove,5.489751074
lowly,1.745344145
snout,1.581368313
trope,0.575296889
fewer,18.11990252
shawl,1.418703129
natal,0.883291896
comma,1.827682059
foray,0.435752169
scare,2.257143903
stair,1.639468102
black,115.2188454
squad,2.758560285
royal,21.55564509
chunk,1.146308522
mince,0.432670302
shame,11.14208639
cheek,9.35916104
ample,12.90664982
flair,0.746652607
foyer,0.932341687
cargo,15.52279188
oxide,16.52009217
plant,117.3886793
olive,7.409069987
inert,3.554459615
askew,0.268497627
heist,0.094916896
shown,190.5430666
zesty,0.052787459
stash,3.216605016
larva,3.08948034
forgo,0.581886818
story,97.65817694
hairy,2.819035374
train,43.15975251
homer,0.160917219
badge,2.4370988
midst,13.43469321
canny,0.301647744
shine,4.708062335
gecko,0.098373329
farce,1.700507516
slung,1.189176603
tipsy,0.332277072
metal,60.35012901
yield,51.35078138
delve,0.620261528
being,635.7289282
scour,0.944797844
glass,59.46836708
gamer,0.075678882
scrap,6.345340216
money,188.194993
hinge,2.680571813
album,4.072567519
vouch,0.593916917
asset,13.44103129
tiara,0.273399301
crept,3.583816078
bayou,0.364132333
atoll,0.357046765
manor,4.18054131
creak,0.45526863
showy,1.019306206
peach,2.896139898
froth,0.780310535
depth,48.38862489
gloom,3.835857547
flood,19.16585861
trait,4.538868089
girth,0.968263486
piety,4.967137151
goose,2.558937959
float,6.020022382
donor,8.036699178
atone,0.728611024
primo,0.322910866
apron,2.629459654
blown,7.062186618
cacao,0.771786561
loser,1.205150164
input,33.47003001
gloat,0.178180514
awful,8.635216795
brink,1.902735659
smite,0.586397463
beady,0.177155895
rusty,1.960571205
retro,0.520148985
droll,0.444906116
gawky,0.087296903
hutch,0.158827268
pinto,0.151409827
egret,0.0997507
lilac,0.949192723
sever,1.347630771
