Word,popularity
slump,0.814024595
crank,0.964835773
gorge,0.864680871
query,0.99758949
drink,1
favor ,1
abbey,0.88330562
tangy,0.541341869
panic,0.999378919
solar,0.999999985
shire,0.770086458
proxy,0.976447181
point,1
robot,0.975054556
prick,0.749265073
wince,0.599643538
crimp,0.566058726
knoll,0.644072064
sugar,1
whack,0.587255217
mount,0.998950759
perky,0.541537133
could,1
wrung,0.733694239
light,1
those,1
moist,0.999221672
shard,0.541799439
pleat,0.524915899
aloft,0.860981999
skill,1
elder,0.99967763
frame,1
humor,0.99957582
pause,0.99986306
ulcer,0.975252416
ultra,0.989154251
robin,0.699263728
cynic,0.587089184
aroma,0.827128412
caulk,0.519652412
shake,0.999868431
dodge,0.677420765
swill,0.53943218
tacit,0.872162645
other,1
thorn,0.835443412
trove,0.577174523
bloke,0.614772029
vivid,0.998819494
spill,0.957726866
chant,0.864043225
choke,0.84515457
rupee,0.731227255
nasty,0.936735869
mourn,0.870268971
ahead,1
brine,0.9336449
cloth,1
hoard,0.766705748
sweet,1
month,1
lapse,0.994271251
watch,1
today,1
focus,1
smelt,0.73295801
tease,0.760438662
cater,0.802832436
movie,0.999986036
saute,0.553185404
allow,1
renew,0.993249454
their,1
slosh,0.519490217
purge,0.850316273
chest,1
depot,0.984306531
epoxy,0.880401071
nymph,0.716263365
found,1
shall,1
stove,0.995888106
lowly,0.8513646
snout,0.829398217
trope,0.639984504
fewer,0.999999986
shawl,0.805135027
natal,0.707503918
comma,0.861485362
foray,0.607246393
scare,0.905264975
stair,0.837462549
black,1
squad,0.940394986
royal,1
chunk,0.758836008
mince,0.606511131
shame,0.999985511
cheek,0.999913835
ample,0.999997519
flair,0.678448882
foyer,0.717550122
cargo,0.999999819
oxide,0.999999933
plant,1
olive,0.999394633
inert,0.972198219
askew,0.566724037
heist,0.523711425
shown,1
zesty,0.513193801
stash,0.961454394
larva,0.956456728
forgo,0.641501447
story,1
hairy,0.943695834
train,1
homer,0.54014272
badge,0.919612877
midst,0.999998537
canny,0.574845272
shine,0.99105843
gecko,0.524573518
farce,0.845601008
slung,0.766593768
tipsy,0.58231332
metal,1
yield,1
delve,0.650278027
being,1
scour,0.72006778
glass,1
gamer,0.518910696
scrap,0.998248169
money,1
hinge,0.935870451
album,0.983251686
vouch,0.644263363
asset,0.999998546
tiara,0.567927237
crept,0.972980786
bayou,0.590040386
atoll,0.588325352
manor,0.984940042
creak,0.611891165
showy,0.734837435
peach,0.947655288
froth,0.685747038
depth,1
gloom,0.978873155
flood,0.999999995
trait,0.989427478
girth,0.724773238
piety,0.993085095
goose,0.928171685
float,0.997576274
donor,0.99967673
atone,0.674500397
primo,0.580033488
apron,0.932733655
blown,0.999143831
cacao,0.683907236
loser,0.769439702
input,1
gloat,0.544427649
awful,0.999822297
brink,0.870200835
smite,0.64253813
beady,0.544173505
rusty,0.876594757
retro,0.627182603
