Word,popularity
slump,0.47600039
crank,0.521856808
gorge,0.485444758
query,0.588759712
drink,0.923704363
favor ,0.98182836
abbey,0.489676819
tangy,0.443459049
panic,0.621197198
solar,0.826111648
shire,0.469331066
proxy,0.532145011
point,1
robot,0.530678998
prick,0.466490249
wince,0.449346395
crimp,0.445929512
knoll,0.454029779
sugar,0.974534995
whack,0.448076154
mount,0.608772166
perky,0.443478459
could,1
wrung,0.464468703
light,0.999999996
those,1
moist,0.615868482
shard,0.443504536
pleat,0.44183077
aloft,0.484664096
skill,0.917473793
elder,0.636507815
frame,0.972358481
humor,0.63013198
pause,0.656079858
ulcer,0.53088238
ultra,0.551713864
robin,0.46025144
cynic,0.448059215
aroma,0.478221591
caulk,0.441310571
shake,0.656982228
dodge,0.457722316
swill,0.443269292
tacit,0.487080835
other,1
thorn,0.479701395
trove,0.447051427
bloke,0.450916522
vivid,0.605958004
spill,0.517076158
chant,0.485308905
choke,0.481508271
rupee,0.464155577
nasty,0.506449243
mourn,0.486659173
ahead,0.952796034
brine,0.505174234
cloth,0.886018092
hoard,0.468857958
sweet,0.92841509
month,0.999946994
lapse,0.567569457
watch,0.954024264
today,0.99985981
focus,0.98957975
smelt,0.464375061
tease,0.467993504
cater,0.474197772
movie,0.705616968
saute,0.444639174
allow,0.999282097
renew,0.563511564
their,1
slosh,0.441294551
purge,0.482506768
chest,0.890660141
depot,0.542437502
epoxy,0.488980157
nymph,0.462294287
found,1
shall,1
stove,0.575729138
lowly,0.482713027
snout,0.478619783
trope,0.453588937
fewer,0.827538324
shawl,0.47456209
natal,0.461232793
comma,0.484769295
foray,0.450132672
scare,0.495501249
stair,0.480069798
black,0.999987354
squad,0.508035845
royal,0.871227362
chunk,0.467774973
mince,0.450056392
shame,0.704849469
cheek,0.666457532
ample,0.740189767
flair,0.457839197
foyer,0.462451895
cargo,0.787273651
oxide,0.803497566
plant,0.999989821
olive,0.621800418
inert,0.527904994
askew,0.445996446
heist,0.441711675
shown,0.999999993
zesty,0.440673009
stash,0.519477794
larva,0.516303757
forgo,0.453752271
story,0.99992679
hairy,0.509547254
train,0.983246709
homer,0.44333988
badge,0.5
midst,0.750215029
canny,0.446815677
shine,0.556531341
gecko,0.441796913
farce,0.481593539
slung,0.46884237
tipsy,0.44757287
metal,0.996955298
yield,0.992544858
delve,0.454703599
being,1
scour,0.462761558
glass,0.996675569
gamer,0.441237314
scrap,0.596481079
money,0.999999991
hinge,0.506086525
album,0.540795826
vouch,0.454050467
asset,0.750333781
tiara,0.446117562
crept,0.528636559
bayou,0.448360626
atoll,0.448185383
manor,0.543475994
creak,0.450615777
showy,0.46461444
peach,0.511474013
froth,0.45867478
depth,0.990000324
gloom,0.534912065
flood,0.841958888
trait,0.552351657
girth,0.463344995
piety,0.562915708
goose,0.503045941
float,0.588626999
donor,0.636443294
atone,0.457391398
primo,0.4473413
apron,0.504808873
blown,0.61360916
cacao,0.458463144
loser,0.469240178
input,0.957028379
gloat,0.443765961
awful,0.650175744
brink,0.486644099
smite,0.453864075
beady,0.44374067
rusty,0.488089064
retro,0.452222472
droll,0.450359254
gawky,0.441523772
hutch,0.443288302
pinto,0.44310526
egret,0.441830881
lilac,0.462870822
sever,0.472790208
field,0.999999979
fluff,0.44724707
agape,0.447409178
voice,0.999742304
stead,0.503340887
berth,0.483264936
madam,0.49415059
night,0.999999154
bland,0.469591021
liver,0.872246779
wedge,0.544634256
roomy,0.451846883
wacky,0.442871131
flock,0.589132682
angry,0.801942123
trite,0.45522197
aphid,0.459885096
tryst,0.444027194
midge,0.445596364
power,1
elope,0.442911788
cinch,0.444545615
motto,0.511407807
stomp,0.444383653
upset,0.659846634
bluff,0.492156462
cramp,0.452767448
quart,0.503373814
coyly,0.4436856
youth,0.970498145
rhyme,0.505300221
buggy,0.471400412
alien,0.706838651
smear,0.476542404
unfit,0.540812967
patty,0.443087258
cling,0.49882259
glean,0.452078906
label,0.762277376
hunky,0.440998232
khaki,0.45785256
poker,0.476925824
gruel,0.449595177
twice,0.965664229
twang,0.444938007
shrug,0.474892985
treat,0.895909095
waste,0.986831742
merit,0.819048974
woven,0.566309737
needy,0.525146863
clown,0.471801055
irony,0.54934554
ruder,0.444860305
gauze,0.491835592
chief,0.998780018
onset,0.685262524
prize,0.726130434
fungi,0.558281263
charm,0.649558765
gully,0.461608801
inter,0.807943756
whoop,0.448496871
taunt,0.452575662
leery,0.443026196
class,0.999999885
theme,0.852852508
lofty,0.579675103
tibia,0.489700445
booze,0.455001339
alpha,0.58550773
thyme,0.460611538
doubt,0.99967634
parer,0.439825881
chute,0.476572276
stick,0.784018583
trice,0.443516704
alike,0.801416991
recap,0.444750877
saint,0.569945356
glory,0.859066811
grate,0.492798437
admit,0.910515394
brisk,0.496114307
soggy,0.449882173
usurp,0.455446625
scald,0.447739914
scorn,0.529564639
leave,0.999976928
twine,0.472458439
sting,0.497155614
bough,0.457035989
marsh,0.526628056
sloth,0.454425804
dandy,0.453748554
vigor,0.545269042
howdy,0.440293604
enjoy,0.924395471
valid,0.929538895
ionic,0.537236749
equal,0.999944652
floor,0.998021976
catch,0.889775631
spade,0.474488442
stein,0.443354932
exist,0.995120146
quirk,0.444846427
denim,0.452357311
grove,0.508761925
spiel,0.442068431
mummy,0.458992461
fault,0.917333021
foggy,0.457970647
flout,0.44451686
carry,0.999077502
sneak,0.472557491
libel,0.523296349
waltz,0.457445477
aptly,0.484587706
piney,0.440874157
inept,0.455109372
aloud,0.591193386
photo,0.710968696
dream,0.904332955
stale,0.490665692
begin,0.994865487
spell,0.625595986
rainy,0.52713273
unite,0.603256598
medal,0.536318122
valet,0.464914973
inane,0.446467978
maple,0.516593628
snarl,0.451031517
baker,0.476168697
there,1
glyph,0.443887632
avert,0.487706552
brave,0.692808894
axiom,0.47914945
prime,0.834186801
drive,0.981431452
feast,0.616193123
itchy,0.446477243
clean,0.961026189
happy,0.98993065
tepid,0.452828576
undue,0.601850476
study,1
eject,0.453743934
chafe,0.444503313
torso,0.473585302
adore,0.472929093
woken,0.453853269
amber,0.495371966
joust,0.442375917
infer,0.559669314
braid,0.466578361
knock,0.582629338
naive,0.520028974
apply,0.999550013
spoke,0.978913635
usual,0.996140967
rival,0.672315642
probe,0.637782253
chord,0.532219357
taper,0.486371818
slate,0.559361118
third,0.999999738
lunar,0.525393645
excel,0.481657955
aorta,0.504220269
poise,0.462735076
extra,0.965001585
judge,0.995757324
condo,0.452031833
impel,0.449417634
havoc,0.481837801
molar,0.524489611
manly,0.506958547
